inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2024    0.001    0.000    0.003    0.000 numeric.py:464(asanyarray)
        1    0.001    0.001    0.002    0.002 __init__.py:15(<module>)
      394    0.001    0.000    0.003    0.000 artist.py:830(get_valid_values)
      208    0.001    0.000    0.010    0.000 sre_compile.py:178(_compile_charset)
     2024    0.001    0.000    0.007    0.000 {method 'any' of 'numpy.ndarray' objects}
       64    0.001    0.000    0.001    0.000 cm.py:28(revcmap)
        5    0.001    0.000    0.001    0.000 {posix.fdopen}
        1    0.001    0.001    0.002    0.002 textpath.py:3(<module>)
     2103    0.001    0.000    0.001    0.000 sre_parse.py:195(match)
     3639    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 extras.py:10(<module>)
      185    0.001    0.000    0.043    0.000 re.py:226(_compile)
        1    0.001    0.001    0.001    0.001 image.py:5(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        2    0.001    0.000    0.003    0.002 __init__.py:3(<module>)
        1    0.001    0.001    0.003    0.003 parser.py:7(<module>)
      772    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x895060}
        1    0.001    0.001    0.015    0.015 text.py:3(<module>)
       11    0.001    0.000    0.008    0.001 artist.py:929(pprint_setters)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        3    0.001    0.000    0.003    0.001 __init__.py:2(<module>)
     1392    0.001    0.000    0.001    0.000 artist.py:886(is_alias)
      133    0.001    0.000    0.001    0.000 pyparsing.py:655(__init__)
      592    0.001    0.000    0.001    0.000 {abs}
        1    0.001    0.001    0.031    0.031 __init__.py:74(<module>)
        1    0.001    0.001    0.043    0.043 rcsetup.py:14(<module>)
        1    0.001    0.001    0.002    0.002 Image.py:27(<module>)
      165    0.001    0.000    0.004    0.000 cbook.py:975(dedent)
      485    0.001    0.000    0.001    0.000 urllib.py:1199(<genexpr>)
        1    0.001    0.001    0.018    0.018 nonlin.py:107(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:689(rc_params)
     2024    0.001    0.000    0.006    0.000 _methods.py:37(_any)
        1    0.001    0.001    0.007    0.007 collections.py:10(<module>)
      485    0.001    0.000    0.001    0.000 urlparse.py:315(<genexpr>)
        1    0.001    0.001    0.033    0.033 patches.py:3(<module>)
        1    0.001    0.001    0.003    0.003 widgets.py:10(<module>)
        1    0.001    0.001    0.001    0.001 backend_agg.py:22(<module>)
        1    0.001    0.001    0.063    0.063 contour.py:4(<module>)
        1    0.000    0.000    0.002    0.002 triangulation.py:1(<module>)
       64    0.000    0.000    0.004    0.000 sre_compile.py:361(_compile_info)
        1    0.000    0.000    0.001    0.001 errors.py:9(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.001    0.001 offsetbox.py:15(<module>)
      232    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
     1117    0.000    0.000    0.001    0.000 sre_parse.py:126(__len__)
       90    0.000    0.000    0.000    0.000 docstring.py:35(__call__)
        1    0.000    0.000    0.002    0.002 tz.py:6(<module>)
      274    0.000    0.000    0.001    0.000 function_base.py:3239(add_newdoc)
       75    0.000    0.000    0.001    0.000 {filter}
        1    0.000    0.000    0.003    0.003 colors.py:50(<module>)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lapack.py:5(<module>)
     1300    0.000    0.000    0.000    0.000 {min}
      829    0.000    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:7(<module>)
     37/6    0.000    0.000    0.028    0.005 _import_tools.py:31(_get_info_files)
        1    0.000    0.000    0.000    0.000 patches.py:3946(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
     1698    0.000    0.000    0.000    0.000 glob.py:60(<lambda>)
        1    0.000    0.000    0.018    0.018 pyplot.py:15(<module>)
      582    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      498    0.000    0.000    0.001    0.000 copy_reg.py:46(_reconstructor)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.001    0.001 xmlreader.py:2(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
      498    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.001    0.001 umfpack.py:6(<module>)
